id,user_id,empresa_id,created_at
314,1899,497,"2026-05-28 21:53:36"
315,1899,498,"2026-05-28 21:53:36"
316,1899,502,"2026-05-28 21:53:36"
317,2130,448,"2026-06-05 13:36:34"
318,2130,457,"2026-06-05 13:36:34"
319,2130,456,"2026-06-05 13:36:34"
320,2131,448,"2026-06-05 13:37:44"
321,2131,456,"2026-06-05 13:37:44"
322,2131,457,"2026-06-05 13:37:44"
323,44,11,"2026-06-10 17:26:37"
324,44,384,"2026-06-10 17:26:37"
342,1915,36,"2026-06-23 13:57:25"
343,1915,37,"2026-06-23 13:57:25"
344,1915,38,"2026-06-23 13:57:25"
345,1915,39,"2026-06-23 13:57:25"
346,1915,40,"2026-06-23 13:57:25"
347,1915,41,"2026-06-23 13:57:25"
348,1915,42,"2026-06-23 13:57:25"
349,1915,43,"2026-06-23 13:57:25"
350,1915,44,"2026-06-23 13:57:25"
351,1915,45,"2026-06-23 13:57:25"
352,1915,46,"2026-06-23 13:57:25"
353,1915,47,"2026-06-23 13:57:25"
354,1915,48,"2026-06-23 13:57:25"
355,1915,49,"2026-06-23 13:57:25"
356,1915,50,"2026-06-23 13:57:25"
357,1915,51,"2026-06-23 13:57:25"
358,1915,53,"2026-06-23 13:57:25"
359,1915,52,"2026-06-23 13:57:25"
